seq_id,replicate,library,species,nursery,country,latitude,longitude,date,day,month,year,sex,pcl_mm,fl_mm,tl_mm,stl_mm,stage,from
PC_092-15,NA,SLH06,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,F,355,395,NA,525,YOY,Bethea
PC_093-15,NA,SLH06,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,F,360,400,NA,525,YOY,Bethea
PC_094-15,NA,SLH06,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,M,360,400,NA,530,YOY,Bethea
PC_095-15,NA,SLH07,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,M,385,425,NA,565,YOY,Bethea
PC_096-15,NA,SLH07,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,M,350,385,NA,510,YOY,Bethea
PC_097-15,NA,SLH07,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,F,305,340,NA,455,YOY,Bethea
PC_098-15,NA,SLH07,Scalloped,FPH,USA,30.00618,-85.53995,2015-08-20,20,8,2015,F,370,415,NA,550,YOY,Bethea
PC_099-15,NA,SLH07,Scalloped,FPH,USA,29.66695,-85.22245,2015-10-15,15,10,2015,M,420,480,NA,620,YOY,Bethea
PC_101-16,NA,SLH07,Scalloped,FPH,USA,29.66568,-85.19273,2016-05-11,11,5,2016,M,300,330,NA,430,YOY,Bethea
PC_102-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,630,680,NA,920,YOY,Bethea
PC_103-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,560,620,NA,840,YOY,Bethea
PC_104-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,520,560,NA,750,SM_JUV,Bethea
PC_105-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,510,560,NA,750,YOY,Bethea
PC_106-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,510,560,NA,740,YOY,Bethea
PC_107-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,520,580,NA,750,YOY,Bethea
PC_108-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,510,560,NA,700,YOY,Bethea
PC_109-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,330,370,NA,480,YOY,Bethea
PC_110-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,F,640,700,NA,920,YOY,Bethea
PC_111-16,NA,SLH07,Scalloped,FPH,USA,29.65905,-85.2271,2016-05-11,11,5,2016,M,540,590,NA,890,YOY,Bethea
PC_112-16,NA,SLH07,Scalloped,FPH,USA,29.86563,-85.39232,2016-05-17,17,5,2016,M,685,750,NA,1000,SM_JUV,Bethea
PC_115-16,NA,SLH07,Scalloped,FPH,USA,29.66188,-85.22508,2016-06-01,1,6,2016,M,320,350,NA,465,YOY,Bethea
PC_116-16,NA,SLH07,Scalloped,FPH,USA,29.99065,-85.5198,2016-06-29,29,6,2016,M,340,390,NA,520,YOY,Bethea
PC_117-16,NA,SLH07,Scalloped,FPH,USA,30.00755,-85.54392,2016-06-29,29,6,2016,F,340,390,NA,515,YOY,Bethea
PC_118-16,NA,SLH07,Scalloped,FPH,USA,30.00755,-85.54392,2016-06-29,29,6,2016,M,290,345,NA,470,YOY,Bethea
PC_119-16,NA,SLH07,Scalloped,FPH,USA,30.00755,-85.54392,2016-06-29,29,6,2016,M,320,360,NA,480,YOY,Bethea
PC_120-16,NA,SLH07,Scalloped,FPH,USA,29.66838,-85.20332,2016-07-22,22,7,2016,F,410,440,NA,590,YOY,Bethea
PC_121-16,NA,SLH07,Scalloped,FPH,USA,29.66838,-85.20332,2016-07-22,22,7,2016,M,340,370,NA,490,YOY,Bethea
PC_122-16,NA,SLH07,Scalloped,FPH,USA,29.67265,-85.22525,2016-07-22,22,7,2016,M,340,370,NA,495,YOY,Bethea
PC_123-16,NA,SLH09,Scalloped,FPH,USA,29.67265,-85.22525,2016-07-22,22,7,2016,M,380,420,NA,550,YOY,Bethea
PC_124-16,NA,SLH09,Scalloped,FPH,USA,29.67265,-85.22525,2016-07-22,22,7,2016,F,380,410,NA,550,YOY,Bethea
PC_132-16,NA,SLH09,Scalloped,FPH,USA,29.6662,-85.1974,2016-08-23,23,8,2016,M,400,440,NA,590,YOY,Bethea
PC_150-17,NA,SLH09,Scalloped,FPH,USA,29.66983,-85.20852,2017-06-14,14,6,2017,M,350,385,NA,510,YOY,Beth Deacy
PC_151-17,NA,SLH09,Scalloped,FPH,USA,29.65765,-85.20953,2017-06-14,14,6,2017,M,310,355,NA,470,YOY,Beth Deacy
PC_152-17,NA,SLH09,Scalloped,FPH,USA,29.65765,-85.20953,2017-06-14,14,6,2017,M,320,360,NA,480,YOY,Beth Deacy
PC_153-17,NA,SLH09,Scalloped,FPH,USA,29.67072,-85.2174,2017-06-14,14,6,2017,M,370,415,NA,550,YOY,Beth Deacy
PC_154-17,NA,SLH09,Scalloped,FPH,USA,30.04525,-85.57777,2017-07-26,26,7,2017,F,380,420,NA,560,YOY,Beth Deacy
PC_155-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,M,400,435,NA,580,YOY,Beth Deacy
PC_156-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,F,365,410,NA,545,YOY,Beth Deacy
PC_157-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,F,345,390,NA,525,YOY,Beth Deacy
PC_158-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,F,350,390,NA,520,YOY,Beth Deacy
PC_159-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,F,355,385,NA,505,YOY,Beth Deacy
PC_160-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,M,330,370,NA,490,YOY,Beth Deacy
PC_161-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,F,405,440,NA,590,YOY,Beth Deacy
PC_162-17,NA,SLH09,Scalloped,FPH,USA,29.99727,-85.52495,2017-07-26,26,7,2017,M,375,410,NA,540,YOY,Beth Deacy
PC_164-17,NA,SLH09,Scalloped,FPH,USA,29.67243,-85.22305,2017-07-27,27,7,2017,M,310,340,NA,450,YOY,Beth Deacy
PC_165-17,NA,SLH09,Scalloped,FPH,USA,29.67243,-85.22305,2017-07-27,27,7,2017,F,360,390,NA,520,YOY,Beth Deacy
PC_166-17,NA,SLH09,Scalloped,FPH,USA,29.66177,-85.22728,2017-07-27,27,7,2017,F,600,645,NA,870,SM_JUV,Beth Deacy
PC_167-17,NA,SLH09,Scalloped,FPH,USA,29.63765,-85.16085,2017-07-27,27,7,2017,M,380,410,NA,550,YOY,Beth Deacy
NF_001-10,NA,SLH03,Scalloped,TR,USA,30.05197,-81.36442,2010-06-16,16,6,2010,M,345,380,480,501,YOY,Jimmy G
NF_002-10,NA,SLH03,Scalloped,TR,USA,30.05643,-81.36853,2010-06-16,16,6,2010,M,375,415,520,550,YOY,Jimmy G
NF_003-10,NA,SLH03,Scalloped,TR,USA,30.05643,-81.36853,2010-06-16,16,6,2010,M,345,385,480,515,YOY,Jimmy G
NF_006-10,NA,SLH03,Scalloped,TR,USA,30.06002,-81.35518,2010-06-16,16,6,2010,F,350,380,490,505,YOY,Jimmy G
NF_007-10,NA,SLH03,Scalloped,TR,USA,30.06002,-81.35518,2010-06-16,16,6,2010,F,330,375,470,490,YOY,Jimmy G
NF_008-10,NA,SLH03,Scalloped,TR,USA,30.06002,-81.35518,2010-06-16,16,6,2010,F,385,430,515,555,YOY,Jimmy G
NF_009-10,NA,SLH03,Scalloped,TR,USA,30.06002,-81.35518,2010-06-16,16,6,2010,M,360,395,495,530,YOY,Jimmy G
NF_010-10,NA,SLH03,Scalloped,TR,USA,30.06002,-81.35518,2010-06-16,16,6,2010,F,360,400,490,530,YOY,Jimmy G
NF_011-10,NA,SLH03,Scalloped,TR,USA,30.06508,-81.36013,2010-06-16,16,6,2010,M,380,420,530,565,YOY,Jimmy G
NF_012-10,NA,SLH03,Scalloped,TR,USA,30.06508,-81.36013,2010-06-16,16,6,2010,M,400,445,560,600,YOY,Jimmy G
NF_013-10,NA,SLH03,Scalloped,TR,USA,30.06645,-81.36372,2010-06-16,16,6,2010,M,390,425,545,560,YOY,Jimmy G
NF_014-10,NA,SLH03,Scalloped,TR,USA,30.06332,-81.35722,2010-06-24,24,6,2010,F,370,410,495,540,YOY,Jimmy G
NF_015-10,NA,SLH03,Scalloped,TR,USA,30.06332,-81.35722,2010-06-24,24,6,2010,M,350,390,495,510,YOY,Jimmy G
NF_016-10,NA,SLH03,Scalloped,TR,USA,30.06332,-81.35722,2010-06-24,24,6,2010,F,380,420,545,555,YOY,Jimmy G
NF_017-10,NA,SLH03,Scalloped,TR,USA,30.0582,-81.35567,2010-06-24,24,6,2010,M,360,400,490,525,YOY,Jimmy G
NF_018-10,NA,SLH03,Scalloped,TR,USA,30.0582,-81.35567,2010-06-24,24,6,2010,F,395,435,555,580,YOY,Jimmy G
NF_019-10,NA,SLH03,Scalloped,TR,USA,30.05062,-81.3658,2010-06-24,24,6,2010,M,370,410,510,530,YOY,Jimmy G
NF_020-10,NA,SLH03,Scalloped,TR,USA,30.05062,-81.3658,2010-06-24,24,6,2010,M,345,390,490,510,YOY,Jimmy G
NF_022-10,NA,SLH03,Scalloped,TR,USA,30.06162,-81.36428,2010-07-22,22,7,2010,M,405,435,590,590,YOY,Jimmy G
NF_024-10,NA,SLH03,Scalloped,TR,USA,30.06392,-81.36008,2010-07-22,22,7,2010,F,350,400,510,550,YOY,Jimmy G
NF_025-10,NA,SLH03,Scalloped,TR,USA,30.06392,-81.36008,2010-07-22,22,7,2010,M,405,445,550,585,YOY,Jimmy G
NF_026-10,NA,SLH03,Scalloped,TR,USA,30.06392,-81.36008,2010-07-22,22,7,2010,M,375,420,510,550,YOY,Jimmy G
NF_027-10,NA,SLH03,Scalloped,TR,USA,30.06392,-81.36008,2010-07-22,22,7,2010,M,315,355,450,470,YOY,Jimmy G
NF_028-10,NA,SLH03,Scalloped,TR,USA,30.06392,-81.36008,2010-07-22,22,7,2010,M,395,440,550,580,YOY,Jimmy G
NF_029-10,NA,SLH03,Scalloped,TR,USA,30.06157,-81.35615,2010-07-22,22,7,2010,F,365,395,515,525,YOY,Jimmy G
NF_031-10,NA,SLH03,Scalloped,TR,USA,30.05413,-81.35803,2010-07-22,22,7,2010,M,365,410,490,535,YOY,Jimmy G
NF_033-10,NA,SLH03,Scalloped,TR,USA,30.05413,-81.35803,2010-07-22,22,7,2010,M,375,420,525,550,YOY,Jimmy G
NF_034-11,NA,SLH03,Scalloped,TR,USA,30.06187,-81.3558,2011-05-16,16,5,2011,M,290,330,425,430,YOY,Jimmy G
NF_036-11,NA,SLH03,Scalloped,TR,USA,30.06333,-81.35683,2011-05-18,18,5,2011,F,370,410,530,530,YOY,Jimmy G
NF_037-11,NA,SLH03,Scalloped,TR,USA,30.06287,-81.3694,2011-05-23,23,5,2011,F,335,375,440,495,YOY,Jimmy G
NF_038-11,NA,SLH03,Scalloped,TR,USA,30.0637,-81.35783,2011-05-25,25,5,2011,M,300,340,440,450,YOY,Jimmy G
NF_039-11,NA,SLH03,Scalloped,TR,USA,30.0637,-81.35783,2011-05-25,25,5,2011,F,275,305,395,400,YOY,Jimmy G
NF_040-11,NA,SLH03,Scalloped,TR,USA,30.05632,-81.35573,2011-05-25,25,5,2011,M,345,390,500,510,YOY,Jimmy G
NF_042-11,NA,SLH03,Scalloped,TR,USA,30.05,-81.366,2011-05-25,25,5,2011,F,325,360,455,465,YOY,Jimmy G
NF_044-11,NA,SLH03,Scalloped,TR,USA,30.06627,-81.3617,2011-06-08,8,6,2011,M,330,360,460,480,YOY,Jimmy G
NF_045-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,M,320,355,445,465,YOY,Jimmy G
NF_046-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,F,345,390,480,510,YOY,Jimmy G
NF_047-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,M,320,360,450,480,YOY,Jimmy G
NF_048-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,M,350,390,480,515,YOY,Jimmy G
NF_049-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,F,345,380,480,510,YOY,Jimmy G
NF_050-11,NA,SLH03,Scalloped,TR,USA,30.05603,-81.35667,2011-06-15,15,6,2011,M,360,390,490,520,YOY,Jimmy G
NF_051-11,NA,SLH03,Scalloped,TR,USA,30.06188,-81.35628,2011-06-24,24,6,2011,F,330,355,460,480,YOY,Jimmy G
NF_053-11,NA,SLH03,Scalloped,TR,USA,30.07418,-81.36563,2011-07-05,5,7,2011,M,370,400,500,530,YOY,Jimmy G
NF_054-11,NA,SLH03,Scalloped,TR,USA,30.03488,-81.36542,2011-07-05,5,7,2011,M,320,360,460,470,YOY,Jimmy G
NF_055-11,NA,SLH03,Scalloped,TR,USA,30.05348,-81.36013,2011-07-05,5,7,2011,M,350,390,480,520,YOY,Jimmy G
NF_121-15,NA,SLH10,Scalloped,TR,USA,30.05797,-81.35502,2015-05-22,22,5,2015,M,320,360,NA,380,YOY,Jimmy G
NF_123-15,NA,SLH10,Scalloped,TR,USA,30.05797,-81.35502,2015-05-22,22,5,2015,M,320,360,NA,470,YOY,Jimmy G
NF_124-15,NA,SLH10,Scalloped,TR,USA,30.06095,-81.35602,2015-05-22,22,5,2015,M,320,350,NA,460,YOY,Jimmy G
NF_125-15,NA,SLH10,Scalloped,TR,USA,30.06095,-81.35602,2015-05-22,22,5,2015,M,330,360,NA,485,YOY,Jimmy G
NF_126-15,NA,SLH10,Scalloped,TR,USA,30.06095,-81.35602,2015-05-22,22,5,2015,F,310,350,NA,460,YOY,Jimmy G
NF_127-15,NA,SLH10,Scalloped,TR,USA,30.0612,-81.36663,2015-06-03,3,6,2015,M,330,360,NA,470,YOY,Jimmy G
NF_128-15,NA,SLH10,Scalloped,TR,USA,30.0588,-81.35503,2015-06-03,3,6,2015,F,340,370,NA,500,YOY,Jimmy G
NF_129-15,NA,SLH10,Scalloped,TR,USA,30.0588,-81.35503,2015-06-03,3,6,2015,F,290,330,NA,440,YOY,Jimmy G
NF_134-15,NA,SLH07,Scalloped,TR,USA,30.06207,-81.356,2015-07-23,23,7,2015,M,330,370,NA,490,YOY,Jimmy G
NF_135-15,NA,SLH07,Scalloped,TR,USA,30.05838,-81.355,2015-07-23,23,7,2015,M,350,390,NA,520,YOY,Jimmy G
NF_142-16,NA,SLH07,Scalloped,TR,USA,30.06428,-81.35865,2016-05-17,17,5,2016,F,310,350,NA,450,YOY,Jimmy G
NF_143-16,NA,SLH07,Scalloped,TR,USA,30.0524,-81.36362,2016-05-17,17,5,2016,F,330,360,NA,480,YOY,Jimmy G
NF_144-16,NA,SLH07,Scalloped,TR,USA,30.02303,-81.35055,2016-05-17,17,5,2016,F,360,390,NA,550,YOY,Jimmy G
NF_147-16,NA,SLH07,Scalloped,TR,USA,30.05542,-81.35703,2016-06-02,2,6,2016,F,335,370,NA,480,YOY,Jimmy G
NF_148-16,NA,SLH07,Scalloped,TR,USA,30.05542,-81.35703,2016-06-02,2,6,2016,M,310,340,NA,460,YOY,Jimmy G
NF_149-16,NA,SLH07,Scalloped,TR,USA,30.05163,-81.36537,2016-06-02,2,6,2016,M,330,380,NA,490,YOY,Jimmy G
NF_150-16,NA,SLH07,Scalloped,TR,USA,30.06053,-81.35545,2016-06-16,16,6,2016,M,350,380,NA,520,YOY,Jimmy G
NF_151-16,NA,SLH09,Scalloped,TR,USA,30.06053,-81.35545,2016-06-16,16,6,2016,F,355,410,NA,520,YOY,Jimmy G
NF_152-16,NA,SLH09,Scalloped,TR,USA,30.05333,-81.35975,2016-06-16,16,6,2016,F,335,370,NA,490,YOY,Jimmy G
NF_156-16,NA,SLH09,Scalloped,TR,USA,30.00188,-81.33752,2016-07-12,12,7,2016,M,390,430,NA,475,YOY,Jimmy G
NF_159-17,NA,SLH09,Scalloped,TR,USA,30.06367,-81.35758,2017-05-17,17,5,2017,F,300,330,NA,440,YOY,Jimmy G
NF_160-17,NA,SLH10,Scalloped,TR,USA,30.06367,-81.35758,2017-05-17,17,5,2017,M,340,380,NA,500,YOY,Jimmy G
NF_161-17,NA,SLH10,Scalloped,TR,USA,29.99937,-81.33372,2017-05-22,22,5,2017,M,310,340,NA,450,YOY,Jimmy G
NF_168-17,NA,SLH10,Scalloped,TR,USA,30.05737,-81.3553,2017-06-09,9,6,2017,F,370,400,NA,520,YOY,Jimmy G
NF_169-17,NA,SLH10,Scalloped,TR,USA,30.05737,-81.3553,2017-06-09,9,6,2017,M,340,360,NA,490,YOY,Jimmy G
NF_170-17,NA,SLH10,Scalloped,TR,USA,30.05737,-81.3553,2017-06-09,9,6,2017,F,340,370,NA,490,YOY,Jimmy G
NF_171-17,NA,SLH10,Scalloped,TR,USA,30.0529,-81.36007,2017-06-09,9,6,2017,F,300,340,NA,440,YOY,Jimmy G
NF_172-17,NA,SLH10,Scalloped,TR,USA,30.0529,-81.36007,2017-06-09,9,6,2017,M,360,400,NA,500,YOY,Jimmy G
NF_173-17,NA,SLH10,Scalloped,TR,USA,30.05157,-81.36478,2017-06-09,9,6,2017,M,330,350,NA,470,YOY,Jimmy G
NF_174-17,NA,SLH10,Scalloped,TR,USA,30.05157,-81.36478,2017-06-09,9,6,2017,M,330,360,NA,480,YOY,Jimmy G
NF_176-17,NA,SLH10,Scalloped,TR,USA,30.05615,-81.356,2017-06-29,29,6,2017,M,370,410,NA,540,YOY,Jimmy G
NF_177-17,NA,SLH10,Scalloped,TR,USA,29.99998,-81.33562,2017-06-29,29,6,2017,F,330,360,NA,490,YOY,Jimmy G
NF_181-17,NA,SLH10,Scalloped,TR,USA,29.99895,-81.33472,2017-07-11,11,7,2017,M,340,370,NA,500,YOY,Jimmy G
NF_182-17,NA,SLH10,Scalloped,TR,USA,30.0634,-81.35775,2017-07-11,11,7,2017,F,300,340,NA,460,YOY,Jimmy G
NF_186-17,NA,SLH10,Scalloped,TR,USA,29.99775,-81.33203,2017-07-31,31,7,2017,M,410,450,NA,600,YOY,Jimmy G
NF_188-15,NA,SLH06,Scalloped,TR,USA,30.0514,-81.366,2015-07-23,23,7,2015,M,326,362,476,NA,YOY,Frazier
NF_189-15,NA,SLH06,Scalloped,TR,USA,30.0621,-81.356,2015-07-23,23,7,2015,F,299,334,443,NA,YOY,Frazier
NF_193-16,NA,SLH06,Scalloped,TR,USA,30.0615,-81.3557,2016-07-12,12,7,2016,M,332,369,488,NA,YOY,Frazier
NF_194-16,NA,SLH06,Scalloped,TR,USA,30.0515,-81.3657,2016-07-12,12,7,2016,F,326,364,485,NA,YOY,Frazier
NF_195-16,NA,SLH06,Scalloped,TR,USA,30.0524,-81.3628,2016-07-27,27,7,2016,M,332,371,496,NA,YOY,Frazier
NF_207-16,NA,SLH06,Scalloped,TR,USA,30.0628,-81.3575,2016-08-10,10,8,2016,F,385,430,574,NA,YOY,Frazier
NF_208-17,NA,SLH06,Scalloped,TR,USA,29.99937,-81.33372,2017-05-22,22,5,2017,M,329,367,493,NA,YOY,Frazier
NF_210-17,NA,SLH06,Scalloped,TR,USA,30.05862,-81.35528,2017-07-11,11,7,2017,F,365,410,546,NA,YOY,Frazier
NF_214-17,NA,SLH06,Scalloped,TR,USA,29.99775,-81.33203,2017-07-31,31,7,2017,M,362,404,533,NA,YOY,Frazier
NF_218-17,NA,SLH06,Scalloped,TR,USA,30.06297,-81.35703,2017-08-24,24,8,2017,F,286,320,433,NA,YOY,Frazier
NF_250-18,NA,SLH11,Scalloped,TR,USA,30.0615,-81.3557,2018-05-29,29,5,2018,F,329,370,491,NA,YOY,Frazier
NF_251-18,NA,SLH11,Scalloped,TR,USA,30.0628,-81.3575,2018-05-29,29,5,2018,M,315,354,468,NA,YOY,Frazier
NF_252-18,NA,SLH11,Scalloped,TR,USA,30.0628,-81.3575,2018-05-29,29,5,2018,M,322,361,482,NA,YOY,Frazier
NF_253-18,NA,SLH11,Scalloped,TR,USA,29.99775,-81.33203,2018-06-19,19,6,2018,M,300,339,451,NA,YOY,Frazier
NF_254-18,NA,SLH11,Scalloped,TR,USA,29.99775,-81.33203,2018-06-19,19,6,2018,M,299,346,461,NA,YOY,Frazier
NF_255-18,NA,SLH12,Scalloped,TR,USA,30.0001,-81.33383,2018-05-29,29,5,2018,F,360,390,530,NA,YOY,Jimmy G
NF_256-18,NA,SLH12,Scalloped,TR,USA,30.05602,-81.35668,2018-05-29,29,5,2018,F,380,410,540,NA,YOY,Jimmy G
NF_257-18,NA,SLH12,Scalloped,TR,USA,30.05602,-81.35668,2018-05-29,29,5,2018,F,370,400,530,NA,YOY,Jimmy G
NF_258-18,NA,SLH12,Scalloped,TR,USA,30.06368,-81.35818,2018-05-29,29,5,2018,F,290,320,430,NA,YOY,Jimmy G
NF_259-18,NA,SLH12,Scalloped,TR,USA,29.96111,-81.32735,2018-06-07,7,6,2018,F,290,320,420,NA,YOY,Jimmy G
NF_260-18,NA,SLH12,Scalloped,TR,USA,29.9978,-81.33237,2018-06-19,19,6,2018,M,310,340,470,NA,YOY,Jimmy G
NF_263-18,NA,SLH12,Scalloped,TR,USA,29.95539,-81.31696,2018-06-25,25,6,2018,F,350,380,500,NA,YOY,Jimmy G
NF_266-18,NA,SLH12,Scalloped,TR,USA,30.0013,-81.33645,2018-08-14,14,8,2018,F,330,370,480,NA,YOY,Jimmy G
NF_267-18,NA,SLH12,Scalloped,TR,USA,30.0013,-81.33645,2018-08-14,14,8,2018,F,330,370,490,NA,YOY,Jimmy G
NF_277-19,NA,SLH14,Scalloped,TR,USA,30.063,-81.3573,2019-06-14,14,6,2019,M,NA,303,402,NA,YOY,Frazier
NF_278-19,NA,SLH14,Scalloped,TR,USA,30.06158,-81.35585,2019-07-23,23,7,2019,M,NA,397,525,NA,YOY,Frazier
NF_279-19,NA,SLH14,Scalloped,TR,USA,30.06213,-81.35637,2019-07-29,29,7,2019,M,NA,388,519,NA,YOY,Frazier
NF_280-19,NA,SLH14,Scalloped,TR,USA,30.0224,-81.34848,2019-07-29,29,7,2019,F,NA,356,470,NA,YOY,Frazier
NF_281-19,NA,SLH14,Scalloped,TR,USA,30.0557,-81.35622,2019-08-07,7,8,2019,F,NA,404,537,NA,YOY,Frazier
